week,day,name,description,duration,exercises
1,1,Strength: Lower Body Accumulation & Aerobic Run,Volume focus for lower body. Steady aerobic run to build base.,135,"[{""name"": ""Back Squats"", ""sets"": ""5"", ""reps"": ""8-10 (RPE 8)""},{""name"": ""Romanian Deadlifts (RDLs)"", ""sets"": ""4"", ""reps"": ""10-12""},{""name"": ""Leg Press"", ""sets"": ""3"", ""reps"": ""12-15""},{""name"": ""Walking Lunges (Dumbbell)"", ""sets"": ""3"", ""reps"": ""12-15 per leg""},{""name"": ""Calf Raises"", ""sets"": ""3"", ""reps"": ""15-20""},{""name"": ""Core: Weighted Plank"", ""sets"": ""3"", ""duration"": ""60s""},{""name"": ""WOD: Lower Body & Cardio Blast"", ""description"": ""For Time, 3 Rounds: 15 Wall Balls (light/moderate), 10 Burpee Broad Jumps (short distance), 200m Row or SkiErg. Focus on smooth movement, RPE 7-8."", ""duration"": ""10-15 min""},{""name"": ""Steady Aerobic Run"", ""description"": ""Ensure this run is truly easy given the strength and WOD. Focus on Zone 2 HR / RPE 4-5."", ""duration"": ""45-50 min""}]"
1,2,Running: Long Run (Aerobic Base),Focus on time on feet at a consistent easy pace.,100,"[{""name"": ""Warm-up Jog"", ""duration"": ""10 min""},{""name"": ""Long Easy Run (Zone 2)"", ""duration"": ""80-85 min""},{""name"": ""Cool Down Walk/Stretch"", ""duration"": ""5-10 min""}]"
1,3,Strength: Upper Body Accumulation & Hyrox Skill,Volume focus for upper body. SkiErg technique and endurance.,115,"[{""name"": ""Bench Press"", ""sets"": ""5"", ""reps"": ""8-10 (RPE 8)""},{""name"": ""Pull-ups (Weighted if possible, or AMRAP bodyweight)"", ""sets"": ""4"", ""reps"": ""6-10 or AMRAP""},{""name"": ""Overhead Press (Barbell)"", ""sets"": ""4"", ""reps"": ""8-10""},{""name"": ""Bent Over Rows (Barbell or heavy DB)"", ""sets"": ""4"", ""reps"": ""10-12""},{""name"": ""Dips (Weighted if possible)"", ""sets"": ""3"", ""reps"": ""AMRAP""},{""name"": ""WOD: Upper Body & Cardio Endurance"", ""description"": ""10 min AMRAP: 10 Push-ups, 10 Ring Rows (or inverted rows), 10 Calorie SkiErg or Row. Keep moving, RPE 7-8."", ""duration"": ""10 min""},{""name"": ""SkiErg Intervals"", ""sets"": ""6"", ""work"": ""500m at moderate, sustainable pace (RPE 7)"", ""rest"": ""75s recovery""},{""name"": ""Cool Down"", ""duration"": ""10 min""}]"
1,4,Running: Steady State Run + Strides,Slightly faster than easy pace building aerobic efficiency. ,70,"[{""name"": ""Warm-up Jog"", ""duration"": ""10 min""},{""name"": ""Steady State Run (Zone 3 HR / RPE 6)"", ""duration"": ""45 min""},{""name"": ""Strides: 6-8 x 100m at approx 5K-10K pace with full recovery"", ""duration"": ""10 min""},{""name"": ""Cool Down Walk"", ""duration"": ""5 min""}]"
1,5,Hyrox Conditioning: Strength Endurance & Light Run,Circuit focusing on muscular endurance for Hyrox movements followed by a recovery run. ,90,"[{""name"": ""Warm-up: Dynamic movements, light cardio"", ""duration"": ""10 min""},{""name"": ""Circuit (3-4 Rounds): 15 KB Swings (24/16kg), 12 Goblet Squats (heavy), 20m Sled Push (moderate, RPE 7), 10 Calorie Row (hard), 90s rest"", ""duration"": ""Approx 30 min""},{""name"": ""Wall Ball Practice"", ""sets"": ""3"", ""reps"": ""20-25 (focus on unbroken sets if possible, RPE 8)""},{""name"": ""Easy Recovery Run"", ""duration"": ""30 min (Zone 1-2)""},{""name"": ""Cool Down"", ""duration"": ""10 min""}]"
1,6,Active Recovery or REST,"Very light activity (walk, swim, yoga) or complete rest. Focus on mobility. ",45,"[{""name"": ""Optional: Full Body Mobility, Foam Rolling, or Light 30 min Cross-Train (Zone 1-2)"", ""duration"": ""30-45 min""}]"
1,7,Running: Long Run (Progression),Slightly increase duration or maintain from Day 2. ,110,"[{""name"": ""Warm-up Jog"", ""duration"": ""10 min""},{""name"": ""Long Easy Run (Zone 2)"", ""duration"": ""90-95 min""},{""name"": ""Cool Down Walk/Stretch"", ""duration"": ""5-10 min""}]"
2,1,Strength: Lower Body Accumulation (Intensity Increase) & Aerobic Run,Increase weight or reps from Week 1. ,135,"[{""name"": ""Back Squats"", ""sets"": ""5"", ""reps"": ""8-10 (RPE 8.5, aim for +weight/reps)""},{""name"": ""Good Mornings"", ""sets"": ""4"", ""reps"": ""10-12""},{""name"": ""Bulgarian Split Squats"", ""sets"": ""3"", ""reps"": ""10-12 per leg (RPE 8)""},{""name"": ""Hamstring Curls"", ""sets"": ""3"", ""reps"": ""12-15""},{""name"": ""Seated Calf Raises"", ""sets"": ""3"", ""reps"": ""15-20""},{""name"": ""Core: Hanging Leg Raises"", ""sets"": ""3"", ""reps"": ""12-15""},{""name"": ""WOD: Lower Body Endurance EMOM"", ""description"": ""12 min EMOM (Every Minute On the Minute): Min 1: 15-20 Wall Balls, Min 2: 15/12 Calorie Bike/Row, Min 3: 10-12 Goblet Squats (moderate weight). Focus on consistent pacing and form. RPE 8."", ""duration"": ""12 min""},{""name"": ""Steady Aerobic Run"", ""description"": ""Ensure this run is truly easy given the strength and WOD. Focus on Zone 2 HR / RPE 4-5."", ""duration"": ""45-50 min""}]"
2,2,Running: Long Run with Fast Finish,Last 15-20 mins at a steadier pace (Zone 3). ,100,"[{""name"": ""Warm-up Jog"", ""duration"": ""10 min""},{""name"": ""Long Run: 65-70 min Zone 2 -> 15-20 min Zone 3 (steady)"", ""duration"": ""80-85 min""},{""name"": ""Cool Down Walk/Stretch"", ""duration"": ""5-10 min""}]"
2,3,Strength: Upper Body Accumulation (Intensity Increase) & Hyrox Skill,Increase weight or reps from Week 1. Farmer's Carry focus. ,115,"[{""name"": ""Bench Press"", ""sets"": ""5"", ""reps"": ""8-10 (RPE 8.5, aim for +weight/reps)""},{""name"": ""Weighted Pull-ups"", ""sets"": ""4"", ""reps"": ""6-10 (aim for +weight/reps)""},{""name"": ""Incline Dumbbell Press"", ""sets"": ""4"", ""reps"": ""10-12""},{""name"": ""Pendlay Rows"", ""sets"": ""4"", ""reps"": ""8-10""},{""name"": ""Ring Dips or Weighted Bar Dips"", ""sets"": ""3"", ""reps"": ""AMRAP""},{""name"": ""WOD: Upper Body Strength & Carry"", ""description"": ""For Time: 3 Rounds: 15 Push Press (light DBs), 10 Pull-ups (kipping/strict as able), 200m Farmer's Carry (lighter than skill work, RPE 8)."", ""duration"": ""10-15 min""},{""name"": ""Heavy Farmer's Carry"", ""sets"": ""4"", ""distance"": ""40m (as heavy as possible with good form, RPE 9)"", ""rest"": ""90s""},{""name"": ""Cool Down"", ""duration"": ""10 min""}]"
