Week,Day 1 (Mon) - Strength (Full Body A),Day 2 (Tue) - Varied Quality Run,Day 3 (Wed) - Metcon/WOD (Engine/Skill),Day 4 (Thu) - Active Recovery / Mobility,Day 5 (Fri) - Strength (Full Body B + Hyrox Element),Day 6 (Sat) - Longer Run / Hybrid WOD,Day 7 (Sun) - Rest
Wk 1: Deload & Fun,"30 minute easy run @ RPE 4 (conversational pace. 
 10 min Cool down with dynamic movements and stretches","Run: 30-40 min Easy (RPE 4-5) with 4-6x20s ""fun"" sprints/pick-ups, full jog recovery.","Metcon (AMRAP 12 min): 
 5 Cal Row/Ski/Bike 
 7 KB Swings (Light-Mod) 
 9 Air Squats. 
 Focus: Smooth movement, not max intensity.","20-30 min Walk, Yoga, Full Body Foam Roll.","Warm-up: Dynamic. 
 A. RDLs (DBs or BB): 3x10-12 (RPE 6-7) 
 B. DB Overhead Press: 3x10-12 
 C. Walking Lunges: 2x10/leg 
 D. Farmer's Carry (Light, focus on posture): 2x30m. 
 Cool-down: Static.","Run: 45-60 min Easy (RPE 4-5) on a new/enjoyable route. OR Light Hybrid: 2 Rds: 400m Run, 10 Burpees, 15 Sit-ups.",Rest. Focus on enjoyment of movement.
Wk 2: Re-Engagement,"Warm-up: Dynamic. 
 A. Back Squats (Light-Mod): 3x8-10 (RPE 7) 
 B. DB Incline Press: 3x10-12 
 C. Step-Ups: 3x10/leg 
 D. Core. 
 Cool-down: Static.","Warm-up: 5 min dynamic 
 Workout: 
 1. Kettlebell swings (moderate KB): 3 x 8-10 reps 
 2. DB rows: 3 x 15 each side 
 3. Walking Lunges: 3 x 6-8 reps/leg 
 4. Plank: 3 x 30-40 sec hold 
 Cool-down: 5 min static stretch","Metcon (For Time - 10 min cap): 
 21-15-9 
 DB Thrusters (Light) 
 Pull-ups (or Ring Rows) 
 After each round: 100m Sprint/Fast Shuttle.",Active Recovery / Mobility.,"Warm-up: Dynamic. 
 A. Deadlifts (Trap Bar or Conventional, Light-Mod): 3x6-8 (RPE 7) 
 B. Push Press (DB or BB): 3x8-10 
 C. Sled Push Drills (Empty or very light, focus on technique): 3x25m. 
 D. Wall Ball Skill (Light, form): 2x10. 
 Cool-down: Static.","Run: 50-65 min Easy (RPE 4-5). OR Hybrid: Run 800m, then 3 Rds: 10 Goblet Squats, 10 Push-ups, 10 Box Jumps/Step-ups, then Run 800m.",Rest.
Wk 3: Building Volume,"Warm-up: Dynamic. 
 A. Front Squats: 3x6-8 (RPE 7-8) 
 B. Weighted Push-ups / Dips: 3xAMRAP-1 
 C. Bulgarian Split Squats: 3x8-10/leg 
 D. Hanging Knee Raises. 
 Cool-down: Static.","Run: 40-50 min with Hill Sprints: WU, then 6-8 x 20-30s max effort hill sprint, walk/jog down recovery. CD.","Metcon (EMOM 16 min): 
 Min 1: 8-12 Cal Row/Ski 
 Min 2: 8-12 Burpees 
 Min 3: 10-15 Wall Balls (Mod) 
 Min 4: Rest.",Active Recovery / Mobility.,"Warm-up: Dynamic. 
 A. RDLs (Heavier): 3x8-10 (RPE 7-8) 
 B. Strict Press (BB): 3x6-8 
 C. Farmer's Carry (Moderate-Heavy): 3x40m 
 D. Sled Pull Drags (Moderate): 3x25m. 
 Cool-down: Static.","Run: 60-75 min Easy (RPE 4-5). OR Hybrid ""Chipper"" Lite: For Time: 400m Run, 30 Air Squats, 20 Sit-ups, 10 Pull-ups, 400m Run, 30 Lunges, 20 Push-ups, 10 KB Swings, 400m Run.",Rest.
Wk 4: Introducing Intensity,"Warm-up: Dynamic. 
 A. Back Squats: Build to a challenging 5RM for the day, then 2x5 @ 85% of that. 
 B. DB Bench Press (Heavy): 3x6-8 
 C. Glute Ham Raises / Hip Thrusts: 3x10-12. 
 D. Core. 
 Cool-down: Static.","Warm-up: 5 min dynamic 
 Workout: 
 1. Kettlebell swings (moderate KB): 3 x 16 reps 
 2. Bar Bell upright row: 3 x 8 
 3. Walking Lunges with 10kg plate: 3 x 6-8 reps/leg 
 4. Plank: 3 x 30-40 sec hold 
 Cool-down: 5 min static stretch",(Run): 10 min easy jog WU. Then 4 x (200m run @ RPE 6-7/10 / 200m walk/jog recovery). 5 min CD.,"Warm-up: 5 min dynamic 
 Workout: 
 1. Bar bell deadlift: 3 x 12-15 reps 
 2. DB Overhead Press (light): 3 x 8-10 reps 
 3. Farmer's Carry: 3 x 50-60 sec walk or 2x 25-30m for distance. 
 4. DB Rows (progress weight or reps): 3 x 10-12 reps/arm 
 Cool-down: 5 min static stretch","Skill Focus (15-20 min): 
 1. Wall Balls: 3x8 with light med ball, focus on unbroken reps & breathing. 
 2. Sled Push: 3x15m with vcomfotable weight, focus on leg drive. 
 Light Compromised Run Intro: 2 Rounds: 
 8 Wall Balls (light) 
 15m Sled Push (light) 
 200m easy run 
 2 min Rest","Run: 70-80 min Easy (RPE 4-5). OR Hybrid Intervals: 3 Rds: Run 800m (RPE 7-8), Rest 2 min, then 2 min AMRAP (e.g., DB Snatches + Box Jumps). Rest 2 min.",Rest.
Wk 5: Hybrid Focus,"Warm-up: Dynamic. 
 A. Overhead Squats (PVC/Light Bar for mobility, or Front Squats 3x5 RPE 8) 
 B. DB Snatch (Alternating): 3x6-8/arm (Mod-Heavy) 
 C. Walking Lunges (Heavy, e.g., Zercher/Sandbag): 3x6-8/leg 
 D. Toes-to-Bar / Hanging Leg Raises. 
 Cool-down: Static.","Run: 40-50 min Progressive Run: Start easy, finish last 10-15 min @ Tempo effort (RPE 7-8).","Metcon (Hyrox Simulation Lite - Stations 1-3): 
 Run 800m 
 SkiErg 500-750m (Mod effort) 
 Run 800m 
 Sled Push 25-50m (Mod weight) 
 Run 800m 
 Sled Pull 25-50m (Mod weight) 
 Run 800m. Focus on flow.",Active Recovery / Mobility.,"Hyrox Combo Focus: 3 Rounds: 
 10 Wall Balls (light-mod) 
 20m Sled Push (light-mod) 
 400m light run
 90s-2min Rest 
 Focus: Smooth transitions.
 Finish with 1000m row","Run: 75-90 min Easy (RPE 4-5). Longest run this cycle. OR ""Partner"" WOD (done solo if needed): E.g., YGIYGO style on 2-3 movements for 15-20 min.",Rest.
Wk 6: Peak Maintenance Week,"Warm-up: Dynamic. 
 A. Back Squat: 5x5 (RPE 8, challenging volume) 
 B. Weighted Dips / Close Grip Bench: 3xAMRAP / 8-10 (RPE 8-9) 
 C. RDLs (Heavier): 3x6-8. 
 D. Advanced Core (e.g., Dragon Flags, GHD Sit-ups if experienced). 
 Cool-down: Static.","Warm-up: 5 min dynamic 
 Workout (Strength Endurance Circuit - 2-3 Rounds): 
 1. Goblet Squats x15 
 2. Push-ups x AMRAP - max explosive 
 3. Walking Lunges with sandbag x10/leg 
 4. Wall ball sit-up","Metcon (Classic CrossFit Benchmark - Scaled if needed): 
 E.g., ""Fran"" (21-15-9 Thrusters & Pull-ups) or ""Grace"" (30 Clean & Jerks for time). 
 OR a challenging AMRAP like ""Cindy"" (20 min: 5 Pull-ups, 10 Push-ups, 15 Squats).","Warm-up: 5 min dynamic 
 Workout (Full Body Strength): 
 1.Front Squat : 3x8 
 2. DB Incline Press: 3x12-15 
 3. Single Arm DB Row: 3x10-12/arm 
 4. Sled Pull (if available, light) o Ring rows or Banded Pull-aparts 3x15-20 
 Cool-down: 5 min static stretch","Hyrox Combo Focus: 3 Rounds: 
 250m Row (moderate) 
 10 Burpees (scaled as needed) 
 400m light jog 
 20m walking lunges
 90s-2min Rest 
 Focus: Managing heart rate.","Hybrid ""Race Sim Lite"": 
 Run 1km. Then 3-4 ""stations"" with 400-800m run between (e.g. 50 Wall Balls, 50m Sled Push, 50 KB Swings, 50 Burpees). Mod intensity. 
 OR 60-75 min Easy Run.",Rest.
Wk 7: Pre-Deload / Maintain,"Warm-up: Dynamic. 
 A. Front Squats: 3x5 (RPE 7-8) 
 B. DB Incline Press: 3x8-10 
 C. Walking Lunges: 2x10/leg. 
 Cool-down: Static.","Warm-up: 5 min dynamic 
 Workout (Strength Endurance Circuit - 3 Rounds): 
 1. DB Thrusters (light) x10-12 (squat to press) 
 2. Renegade Rows (light DBs, from plank) x6-8/arm 
 3. Burpees (scaled) x5-8 
 4. Farmer's Carry x40m 
 Rest 60-90s between rounds. 
 Cool-down: 5 min static stretch","Metcon (Moderate AMRAP 15 min): 
 400m Run/Row/Ski 
 12 Alternating DB Snatches (Light-Mod) 
 10 Box Step-Overs. 
 Focus on consistency.","Warm-up: 5 min dynamic 
 Workout (Focus: Posterior Chain & Push): 
 1. KB/DB Swings (learn form first): 3x15-20 
 2. Push Press (DBs/light barbell): 3x10-12 
 3. Glute Ham Raises (or bridges if no GHR): 3x10-15 
 4. Wall Balls: 3x10-12 
 Cool-down: 5 min static stretch","Hyrox Mini Block: 2 Rounds: 
 Run 400m (easy) 
 SkiErg 250m (or 60s strong band pulls) 
 Sled Push 25m (moderate) 
 Run 400m (easy) 
 Rest 2-3 min between rounds.
 Finish with 50 wall balls",Run: 45-60 min Easy (RPE 4-5). OR Fun Partner WOD if training buddy available (low stress).,Rest.
Wk 8: Deload & Reset,"Warm-up: Dynamic. 
 A. Bodyweight Squat Variations: 3x12-15 (RPE 5) 
 B. Push-up Variations (Incline/Knees): 2x10-15 
 C. Plank & Side Plank Holds. 
 Cool-down: Static.","Warm-up: 5 min dynamic 
 Workout (Strength Endurance Circuit - 3 Rounds): 
 1. Bar bell Front Squats x12-15 
 2. Push-ups (decline if possible) xAMRAP 
 3. Box Jump overs x10 
 4. Plank with arm reach x10/arm 
 Rest 60s between rounds. 
 Cool-down: 5 min static stretch","Metcon (Movement Flow - 10-12 min): 
 Focus on stringing together simple movements smoothly: e.g., Air Squats -> Inchworms -> Bear Crawls -> Lunges -> Light KB Swings. No score, just move well.","Warm-up: 5 min dynamic 
 Workout (Focus: Pull & Carry): 
 1. Deadlifts (light DBs/KB, focus on form): 3x8-10 
 2. Pull-ups (assisted or Lat Pulldowns/Band Rows): 3xAMRAP or 8-12 reps 
 3. Box dips 10 or max reps
 4. Farmer's Carry (heavy as good form allows): 3x30-40m 
 Cool-down: 5 min static stretch","Hyrox Mini Block: 2 Rounds: 
 Run 400m (steady) 
 RowErg 250m 
 10 Burpee Broad Jumps (or scaled burpees + 2 broad jumps) 
 Run 400m (steady) 
 Rest 2-3 min between rounds.x","Run: 30-40 min Very Easy (RPE 3-4). Enjoyable, no pressure. OR Rest.",Rest. Evaluate readiness for next cycle/program.
Week 9,"Running Focus (Easy) 
 • 35-40 min Run/Walk @ RPE 5-6",Rest / Active Recovery,"Strength + Skill 
 • KB Swings into RDL: 4x20 @ RPE 7 
 • DB Bench Press: 4x10 @ RPE 7-8 
 • DB Goblet Lunges: 3x10/leg @ RPE 7 
 • Side Plank: 3x40s/side 

 + 5min: Farmer Carry practice - Build weight to comp weight and look to increase feet speed.",Rest / Active Recovery,"Hyrox Workout (25-30 min) 
 3 Rounds @ RPE 7: 
 • 500m SkiErg 
 • 25m Sled Push (Light/Mod Wt) 
 • 25m Sled Pull (Light/Mod Wt) 
 • Rest 90sec","Long Run (Easy) 
 • 45-50 min @ RPE 5-6",Rest
Week 10,"Running Focus (Easy/Short) 
 • 20-25 min Easy Run or Walk @ RPE 5",Rest / Active Recovery,"Strength (Light) + Mobility 
 • BW Squat: 3x20 
 • Push-ups: 3x20 (scale as needed)
 • Band Rows: 3x15 
 • Glute Bridges: 3x20 
 + 10min: Full body stretching",Rest / Active Recovery,"Technique Practice (20 min) 
 Spend 4-5 mins on each: 
 • Wall Balls 
 • Burpee Broad Jumps 
 • Sandbag Lunges 
 • Farmer Carry","Long Run/Walk (Easy - Shorter) 
 • 30-35 min @ RPE 5-6",Rest
